Date,Cases Rate - Total,Deaths Rate - Total,Hospitalizations Rate - Total,Cases Rate - Age 0-17,Cases Rate - Age 18-29,Cases Rate - Age 30-39,Cases Rate - Age 40-49,Cases Rate - Age 50-59,Cases Rate - Age 60-69,Cases Rate - Age 70-79,Cases Rate -  Age 80+,Cases Rate - Female,Cases Rate - Male,Cases Rate - Latinx,Cases Rate - Asian Non-Latinx,Cases Rate - Black Non-Latinx,Cases Rate - White Non-Latinx,Cases Rate - Other Race Non-Latinx,Deaths Rate - Age 0-17,Deaths Rate - Age 18-29,Deaths Rate - Age 30-39,Deaths Rate - Age 40-49,Deaths Rate - Age 50-59,Deaths Rate - Age 60-69,Deaths Rate - Age 70-79,Deaths Rate - Age 80+,Deaths Rate - Female,Deaths Rate - Male,Deaths Rate - Latinx,Deaths Rate - Asian Non-Latinx,Deaths Rate - Black Non-Latinx,Deaths Rate - White Non-Latinx,Deaths Rate - Other Race Non-Latinx,Hospitalizations Rate -  Age 0-17,Hospitalizations Rate -  Age 18-29,Hospitalizations Rate -  Age 30-39,Hospitalizations Rate -  Age 40-49,Hospitalizations Rate -  Age 50-59,Hospitalizations Rate -  Age 60-69,Hospitalizations Rate -  Age 70-79,Hospitalizations Rate -  Age 80+,Hospitalizations Rate -  Female,Hospitalizations Rate -  Male,Hospitalizations Rate -  Latinx,Hospitalizations Rate -  Asian Non-Latinx,Hospitalizations Rate -  Black Non-Latinx,Hospitalizations Rate -  White Non-Latinx,Hospitalizations Rate -  Other Race Non-Latinx,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Female,Cases - Male,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Female,Deaths - Male,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx
02/26/2021,10.8,0.2,0.5,7.1,13.4,12.2,13.4,11.5,8.9,7,8.8,10.5,10.9,9.7,5.2,6.9,7.9,12.9,0,0,0,0.1,0.1,0.3,1.5,2.3,0.1,0.3,0.2,0.1,0.2,0.2,0.2,0.1,0.4,0.2,0.5,0.8,0.6,1.3,2.7,0.5,0.5,0.3,0.2,0.8,0.4,0.3,291,5.9,13.5,38.7,74,55.9,45,36.1,23.4,10.9,7,144.9,144.1,75.4,9.3,54,71.1,15.4,0,0,0,0.4,0.4,0.9,2.3,1.9,2,3.9,1.9,0.1,1.7,1.9,0.3,0.5,2,0.8,1.8,2.5,1.7,2,2.2,6.5,7,2.3,0.3,6.3,3.5,0.3
05/25/2020,21.3,1.1,2.6,8.6,23.3,22.2,28.6,27.5,24,20.9,28.6,21.5,20.7,33.6,5.4,13.6,5.4,17.9,0,0.1,0.2,0.4,1.3,2.8,4.9,9.6,0.9,1.3,1.4,0.6,1.3,0.8,0.1,0.4,1.1,1.4,2.3,3.1,6.2,7.2,12.7,2.4,2.7,3.4,1.5,3.8,0.7,1.7,577.4,29.4,69.4,47,128.6,101.3,96.3,86,63,32.4,22.9,297.4,273.6,260.7,9.7,107,48.9,21.4,0,0.4,0.7,1.4,4.1,7.4,7.6,7.7,12.3,17.1,11,1.1,10,7,0.1,2,6,6.6,7.7,9.6,16.3,11.1,10.1,33.9,35.6,26.1,2.7,30.1,6.3,2
03/19/2020,3.3,0,0.7,0.2,2.8,4.5,5.6,4.4,4.1,3.8,2.9,2.9,3.7,1.2,2.8,4.2,3.9,1.6,0,0,0,0,0,0.1,0.1,0.4,0,0,0,0,0.1,0,0,0,0.1,0.3,1.1,1.3,1.7,2.8,2.3,0.5,1,0.4,0.5,1.5,0.5,0.1,89,0.7,20.1,1.1,15.7,20.6,19,13.7,10.7,5.9,2.3,39.9,49,9.4,5,33.3,35.3,1.9,0,0,0,0,0.1,0.1,0.1,0.3,0.4,0.3,0,0,0.6,0.1,0,0,0.7,1.1,3.7,4,4.4,4.3,1.9,7.1,13,2.9,0.9,11.6,4.6,0.1
03/24/2020,7.6,0.1,2.1,0.5,6,8.6,11.5,11.6,10.5,12.8,8.4,6.9,8.3,3.8,4.9,12,6.3,4.8,0,0,0,0,0,0.2,0.2,0.5,0,0.1,0,0,0.2,0,0.1,0.1,0.5,1.3,2.5,4,4.5,7.7,6.1,1.8,2.5,1.3,1.4,4.5,0.9,1.2,204.9,1.7,58.1,2.9,33.4,39.3,38.6,36.4,27.7,19.9,6.7,95,109.7,29.4,8.9,93.9,56.7,5.7,0.1,0.1,0,0.1,0.1,0.4,0.3,0.4,0.3,1.4,0.1,0,1.3,0.1,0.1,0.3,2.7,5.7,8.3,12.6,11.7,12,4.9,25.1,33,10.1,2.4,35,8.4,1.4
05/26/2020,20.6,1.1,2.5,8.1,22,20.9,28.2,27.3,23.5,21,27.5,20.9,19.9,32.3,5.5,13.2,5.2,17.6,0,0.1,0.1,0.3,1.1,3,5.2,9.5,0.9,1.3,1.4,0.6,1.3,0.8,0.1,0.3,1.1,1.3,2,3.2,5.9,6.9,12.1,2.3,2.6,3.2,1.4,3.8,0.7,1.4,558,28.9,66.6,44.6,121.4,95.3,94.9,85.6,61.7,32.6,22,289.6,262,250.7,9.9,103.3,47,21,0,0.3,0.6,1,3.6,7.9,8,7.6,12.3,16.6,10.6,1,10.1,7,0.1,1.6,6,6.1,6.7,10.1,15.6,10.7,9.7,32.1,34.4,24.6,2.6,29.6,6,1.7
05/29/2020,16.9,0.9,2.1,6.7,17.1,16.4,24.6,22.1,20.5,16.8,24.5,17.2,16.3,26,4.4,11.3,4.7,14,0,0,0.1,0.3,0.9,1.9,4.6,9.6,0.8,1,1,0.2,1.3,0.6,0.2,0.3,0.7,1,1.8,3.1,4.8,4.8,11.8,2,2.1,2.5,0.8,3.1,0.9,1.4,458,24.4,55.7,37,94.7,74.7,82.9,69.1,53.9,26.1,19.6,238,215.1,201.6,7.9,88.7,41.9,16.7,0,0.1,0.6,1.1,2.7,5,7.1,7.7,11.6,12.9,8.1,0.3,10.1,5.6,0.3,1.9,4.1,4.4,6,9.7,12.7,7.4,9.4,28.3,27.4,19.3,1.4,24.1,7.7,1.7
06/17/2020,7,0.6,0.8,3.7,8.9,6.8,8.8,8.5,7,4.7,8.8,7.4,6.5,10.6,1.5,4.8,2.3,5.4,0,0,0,0.3,0.7,1.5,2.6,6.3,0.6,0.6,0.8,0.4,0.6,0.5,0,0.2,0.5,0.4,0.8,1,1.8,1.6,3.4,0.8,0.8,1.1,0.2,1.1,0.3,0.1,189.9,16.1,21.3,20.3,49.4,31.1,29.6,26.7,18.4,7.3,7,102.3,85.6,82.1,2.7,37.7,20.6,6.4,0,0.1,0.1,0.9,2.1,3.9,4,5,7.9,8.3,6.4,0.7,4.6,4.3,0,1.3,2.6,1.7,2.6,3.3,4.7,2.4,2.7,10.6,10.7,8.7,0.4,8.9,2.9,0.1
03/25/2020,8.7,0.1,2.5,0.5,6.6,9.8,12.8,14.3,11.4,15.1,11.1,7.8,9.6,4.3,5.1,14.2,6.7,6.6,0,0,0,0,0.1,0.2,0.2,0.7,0,0.1,0,0,0.2,0,0.1,0.1,0.6,1.6,2.8,4.7,4.7,9.2,7.7,2.2,2.9,1.4,1.3,5.6,1,1.3,234.1,2.3,68.3,2.9,36.3,44.9,43.1,44.9,29.9,23.4,8.9,107.7,126.3,33.7,9.1,111.1,60.1,7.9,0.1,0.1,0.1,0.1,0.3,0.6,0.3,0.6,0.6,1.7,0.3,0,1.6,0.3,0.1,0.3,3.4,7.4,9.6,14.9,12.3,14.3,6.1,30.3,38,11,2.3,43.7,9.1,1.6
06/18/2020,6.9,0.6,0.8,3.8,8.4,7,8.8,8.4,6.5,4.3,9.8,7.2,6.5,10.3,1.5,4.8,2.3,5,0,0,0.1,0.3,0.6,1.6,2.8,6.1,0.6,0.6,0.9,0.3,0.6,0.5,0,0.3,0.4,0.4,0.8,0.9,1.8,1.8,3.9,0.8,0.8,1.1,0.2,1.1,0.4,0.1,187.3,16.7,21.7,21,46.6,32.1,29.7,26.3,17,6.7,7.9,100.3,85.1,80.1,2.7,37.6,20.3,6,0,0.1,0.3,0.9,2,4.3,4.3,4.9,8.3,8.4,6.9,0.6,5,4.1,0,1.4,2.3,1.9,2.7,2.7,4.7,2.9,3.1,11.7,10,8.6,0.4,8.7,3.6,0.1
07/08/2020,8,0.2,0.7,3.9,12,9.8,9.6,8,6.1,4.9,4.5,8.5,7.4,8,3.3,6.8,4.5,6.8,0,0,0,0,0.1,0.7,0.4,2,0.2,0.2,0.3,0,0.2,0.1,0.1,0.2,0.4,0.4,0.7,1,1,1.8,3.2,0.6,0.8,0.5,0.4,1.1,0.5,0.5,217,4.6,18.7,21.3,66.4,44.7,32.3,25,16.1,7.6,3.6,118.3,97.1,61.9,5.9,53.6,40.7,8.1,0,0,0,0.1,0.4,1.9,0.6,1.6,2.4,2.1,2.1,0,1.6,0.7,0.1,1,2.4,1.7,2.4,3,2.7,2.9,2.6,8.4,10.3,3.7,0.7,8.6,4.1,0.6
