Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed - Percent Population,Total Doses - Daily - Age 0-17,Total Doses - Daily - Age 18-29,Total Doses - Daily - Age 30-39,Total Doses - Daily - Age 40-49,Total Doses - Daily - Age 50-59,Total Doses - Daily - Age 60-69,Total Doses - Daily - Age 70-79,Total Doses - Daily - Age 80+,Total Doses - Daily - Age 18+,Total Doses - Daily - Age 65+,Total Doses - Daily - Age 75+,Total Doses - Daily - Unknown Age,Total Doses - Daily - Female,Total Doses - Daily - Male,Total Doses - Daily - Unknown Gender,Total Doses - Daily - Latinx,Total Doses - Daily - Asian Non-Latinx,Total Doses - Daily - Black Non-Latinx,Total Doses - Daily - White Non-Latinx,Total Doses - Daily - Other Non-Latinx,Total Doses - Daily - Unknown Race/Ethnicity,1st Dose - Daily - Age 0-17,1st Dose - Daily - Age 18-29,1st Dose - Daily - Age 30-39,1st Dose - Daily - Age 40-49,1st Dose - Daily - Age 50-59,1st Dose - Daily - Age 60-69,1st Dose - Daily - Age 70-79,1st Dose - Daily -  Age 80+,1st Dose - Daily - Age 18+,1st Dose - Daily - Age 65+,1st Dose - Daily - Age 75+,1st Dose - Daily - Unknown Age,1st Dose - Daily - Female,1st Dose - Daily - Male,1st Dose - Daily - Unknown Gender,1st Dose - Daily - Latinx,1st Dose - Daily - Asian Non-Latinx,1st Dose - Daily - Black Non-Latinx,1st Dose - Daily - White Non-Latinx,1st Dose - Daily - Other Race Non-Latinx,1st Dose - Daily - Unknown Race/Ethnicity,Vaccine Series Completed - Daily - Age 0-17,Vaccine Series Completed - Daily - Age 18-29,Vaccine Series Completed - Daily - Age 30-39,Vaccine Series Completed - Daily - Age 40-49,Vaccine Series Completed - Daily - Age 50-59,Vaccine Series Completed - Daily - Age 60-69,Vaccine Series Completed - Daily - Age 70-79,Vaccine Series Completed - Daily - Age 80+,Vaccine Series Completed - Daily - Age 18+,Vaccine Series Completed - Daily - Age 65+,Vaccine Series Completed - Daily - Age 75+,Vaccine Series Completed - Daily - Unknown Age,Vaccine Series Completed - Daily - Female,Vaccine Series Completed - Daily - Male,Vaccine Series Completed - Daily - Unknown Gender,Vaccine Series Completed - Daily - Latinx,Vaccine Series Completed - Daily - Asian Non-Latinx,Vaccine Series Completed - Daily - Black Non-Latinx,Vaccine Series Completed - Daily - White Non-Latinx,Vaccine Series Completed - Daily - Other Race Non-Latinx,Vaccine Series Completed - Daily - Unknown Race/Ethnicity
12/15/2020,5,5,5,5,0,0,0,0,0,0,1,2,2,0,0,0,5,0,0,0,4,1,0,0,0,2,1,1,1,0,0,1,2,2,0,0,0,5,0,0,0,4,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/2020,150,155,150,155,0,0,0,0,0,22,55,36,17,19,1,0,150,8,0,0,77,64,9,21,27,12,56,10,24,0,22,55,36,17,19,1,0,150,8,0,0,77,64,9,21,27,12,56,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/2020,1995,2150,1995,2150,0.001,0,0,0,0,506,815,311,218,115,27,3,1995,69,10,0,1100,725,170,155,241,170,1021,103,305,0,506,815,311,218,115,27,3,1995,69,10,0,1100,725,170,155,241,170,1021,103,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/2020,5671,7821,5671,7821,0.003,0,0,0,0,1464,2177,929,621,406,64,10,5671,213,32,0,3406,1873,392,482,763,351,2887,334,854,0,1464,2177,929,621,406,64,10,5671,213,32,0,3406,1873,392,482,763,351,2887,334,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/19/2020,3429,11250,3429,11250,0.004,0,0,0,0,832,1350,563,409,243,29,3,3429,121,7,0,2156,1115,158,308,430,207,1773,230,481,0,832,1350,563,409,243,29,3,3429,121,7,0,2156,1115,158,308,430,207,1773,230,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/20/2020,961,12211,961,12211,0.005,0,0,0,0,231,354,191,118,58,8,1,961,23,3,0,643,316,2,95,118,73,528,33,114,0,231,354,191,118,58,8,1,961,23,3,0,643,316,2,95,118,73,528,33,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/21/2020,4458,16669,4458,16669,0.006,0,0,0,1,1230,1666,684,511,304,56,6,4457,179,25,0,2786,1332,340,440,561,340,2135,221,761,1,1230,1666,684,511,304,56,6,4457,179,25,0,2786,1332,340,440,561,340,2135,221,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,3653,20322,3653,20322,0.008,0,0,0,1,971,1346,581,435,262,47,10,3652,143,30,0,2434,1179,40,433,495,321,1813,184,407,1,971,1346,581,435,262,47,10,3652,143,30,0,2434,1179,40,433,495,321,1813,184,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/23/2020,2761,23083,2761,23083,0.009,0,0,0,0,686,963,450,389,220,46,7,2761,110,23,0,1803,931,27,379,419,338,1246,117,262,0,686,963,450,389,220,46,7,2761,110,23,0,1803,931,27,379,419,338,1246,117,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/24/2020,934,24017,934,24017,0.009,0,0,0,1,194,319,151,134,92,21,22,933,75,29,0,584,343,7,121,137,135,406,40,95,1,194,319,151,134,92,21,22,933,75,29,0,584,343,7,121,137,135,406,40,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
