Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60601,03/05/2021,95,4331,61,2650,0.176,34,1681,0.111,15083,POINT (-87.622844 41.886262),60601-20210305
60601,03/06/2021,34,4365,17,2667,0.177,17,1698,0.113,15083,POINT (-87.622844 41.886262),60601-20210306
60602,03/06/2021,6,726,2,440,0.384,4,286,0.25,1145,POINT (-87.628309 41.883136),60602-20210306
60603,03/06/2021,8,771,4,486,0.462,4,285,0.271,1052,POINT (-87.625473 41.880112),60603-20210306
60605,03/02/2021,171,9970,94,5991,0.206,77,3979,0.137,29060,POINT (-87.623449 41.867824),60605-20210302
60605,03/03/2021,234,10204,91,6082,0.209,143,4122,0.142,29060,POINT (-87.623449 41.867824),60605-20210303
60606,03/06/2021,9,1144,6,701,0.213,3,443,0.135,3287,POINT (-87.63676 41.882634),60606-20210306
60607,02/15/2021,103,7645,54,4946,0.169,49,2699,0.092,29293,POINT (-87.652727 41.876104),60607-20210215
60607,02/16/2021,100,7745,63,5009,0.171,37,2736,0.093,29293,POINT (-87.652727 41.876104),60607-20210216
60607,02/17/2021,167,7912,75,5084,0.174,92,2828,0.097,29293,POINT (-87.652727 41.876104),60607-20210217
60607,02/18/2021,171,8083,67,5151,0.176,104,2932,0.1,29293,POINT (-87.652727 41.876104),60607-20210218
60607,02/19/2021,164,8247,72,5223,0.178,92,3024,0.103,29293,POINT (-87.652727 41.876104),60607-20210219
60607,02/20/2021,81,8328,22,5245,0.179,59,3083,0.105,29293,POINT (-87.652727 41.876104),60607-20210220
60607,02/21/2021,28,8356,7,5252,0.179,21,3104,0.106,29293,POINT (-87.652727 41.876104),60607-20210221
60607,02/22/2021,132,8488,57,5309,0.181,75,3179,0.109,29293,POINT (-87.652727 41.876104),60607-20210222
60607,02/23/2021,279,8767,68,5377,0.184,211,3390,0.116,29293,POINT (-87.652727 41.876104),60607-20210223
60607,02/24/2021,202,8969,72,5449,0.186,130,3520,0.12,29293,POINT (-87.652727 41.876104),60607-20210224
60607,02/25/2021,181,9150,72,5521,0.188,109,3629,0.124,29293,POINT (-87.652727 41.876104),60607-20210225
60607,02/26/2021,191,9341,63,5584,0.191,128,3757,0.128,29293,POINT (-87.652727 41.876104),60607-20210226
60607,02/27/2021,128,9469,83,5667,0.193,45,3802,0.13,29293,POINT (-87.652727 41.876104),60607-20210227
60607,02/28/2021,30,9499,15,5682,0.194,15,3817,0.13,29293,POINT (-87.652727 41.876104),60607-20210228
60607,03/01/2021,108,9607,59,5741,0.196,49,3866,0.132,29293,POINT (-87.652727 41.876104),60607-20210301
60607,03/02/2021,122,9729,60,5801,0.198,62,3928,0.134,29293,POINT (-87.652727 41.876104),60607-20210302
60605,02/04/2021,217,6032,171,4037,0.139,46,1995,0.069,29060,POINT (-87.623449 41.867824),60605-20210204
60607,03/03/2021,222,9951,93,5894,0.201,129,4057,0.138,29293,POINT (-87.652727 41.876104),60607-20210303
60607,03/04/2021,170,10121,91,5985,0.204,79,4136,0.141,29293,POINT (-87.652727 41.876104),60607-20210304
60607,03/05/2021,214,10335,128,6113,0.209,86,4222,0.144,29293,POINT (-87.652727 41.876104),60607-20210305
60607,03/06/2021,69,10404,38,6151,0.21,31,4253,0.145,29293,POINT (-87.652727 41.876104),60607-20210306
60608,03/06/2021,337,17943,218,11873,0.148,119,6070,0.076,80059,POINT (-87.670366 41.849879),60608-20210306
60602,02/02/2021,15,311,9,245,0.214,6,66,0.058,1145,POINT (-87.628309 41.883136),60602-20210202
60609,02/18/2021,233,5989,125,4631,0.076,108,1358,0.022,60939,POINT (-87.653382 41.812017),60609-20210218
60609,02/19/2021,227,6216,113,4744,0.078,114,1472,0.024,60939,POINT (-87.653382 41.812017),60609-20210219
60609,02/20/2021,136,6352,78,4822,0.079,58,1530,0.025,60939,POINT (-87.653382 41.812017),60609-20210220
60609,02/21/2021,31,6383,16,4838,0.079,15,1545,0.025,60939,POINT (-87.653382 41.812017),60609-20210221
60609,02/22/2021,192,6575,105,4943,0.081,87,1632,0.027,60939,POINT (-87.653382 41.812017),60609-20210222
60609,02/23/2021,275,6850,182,5125,0.084,93,1725,0.028,60939,POINT (-87.653382 41.812017),60609-20210223
60609,02/26/2021,401,7783,191,5577,0.092,210,2206,0.036,60939,POINT (-87.653382 41.812017),60609-20210226
60609,02/27/2021,235,8018,164,5741,0.094,71,2277,0.037,60939,POINT (-87.653382 41.812017),60609-20210227
60609,02/28/2021,61,8079,40,5781,0.095,21,2298,0.038,60939,POINT (-87.653382 41.812017),60609-20210228
60609,03/01/2021,297,8376,186,5967,0.098,111,2409,0.04,60939,POINT (-87.653382 41.812017),60609-20210301
60609,03/02/2021,263,8639,137,6104,0.1,126,2535,0.042,60939,POINT (-87.653382 41.812017),60609-20210302
60609,03/03/2021,349,8988,146,6250,0.103,203,2738,0.045,60939,POINT (-87.653382 41.812017),60609-20210303
60609,03/05/2021,337,9628,202,6617,0.109,135,3011,0.049,60939,POINT (-87.653382 41.812017),60609-20210305
60609,03/06/2021,205,9833,123,6740,0.111,82,3093,0.051,60939,POINT (-87.653382 41.812017),60609-20210306
60610,02/27/2021,165,11076,95,6969,0.172,70,4107,0.101,40548,POINT (-87.63581 41.90455),60610-20210227
60610,02/28/2021,67,11143,31,7000,0.173,36,4143,0.102,40548,POINT (-87.63581 41.90455),60610-20210228
60610,03/01/2021,151,11294,78,7078,0.175,73,4216,0.104,40548,POINT (-87.63581 41.90455),60610-20210301
60610,03/02/2021,195,11489,107,7185,0.177,88,4304,0.106,40548,POINT (-87.63581 41.90455),60610-20210302
60610,03/03/2021,358,11847,128,7313,0.18,230,4534,0.112,40548,POINT (-87.63581 41.90455),60610-20210303
60610,03/04/2021,318,12165,216,7529,0.186,102,4636,0.114,40548,POINT (-87.63581 41.90455),60610-20210304
60610,03/05/2021,404,12569,239,7768,0.192,165,4801,0.118,40548,POINT (-87.63581 41.90455),60610-20210305
60610,03/06/2021,94,12663,43,7811,0.193,51,4852,0.12,40548,POINT (-87.63581 41.90455),60610-20210306
60611,02/20/2021,139,13811,28,8455,0.254,111,5356,0.161,33224,POINT (-87.620291 41.894734),60611-20210220
60611,02/21/2021,45,13856,8,8463,0.255,37,5393,0.162,33224,POINT (-87.620291 41.894734),60611-20210221
