Zip,Median Income
60606,"$100,377.00"
60601,"$77,374.00"
60611,"$69,889.00"
60614,"$68,324.00"
60603,"$61,815.00"
60655,"$59,849.00"
60646,"$58,232.00"
60605,"$56,151.00"
60657,"$55,647.00"
60631,"$55,316.00"
60661,"$54,698.00"
60652,"$53,120.00"
60643,"$51,305.00"
60610,"$51,294.00"
60634,"$50,042.00"
60613,"$48,381.00"
60630,"$47,905.00"
60656,"$47,512.00"
60638,"$45,173.00"
60659,"$45,064.00"
60641,"$42,182.00"
60645,"$41,438.00"
60618,"$41,355.00"
60607,"$40,972.00"
60633,"$40,792.00"
60629,"$40,279.00"
60639,"$40,165.00"
60625,"$40,083.00"
60622,"$38,487.00"
60628,"$38,210.00"
60632,"$37,406.00"
60620,"$36,334.00"
60617,"$35,534.00"
60647,"$35,283.00"
60660,"$34,293.00"
60619,"$33,631.00"
60651,"$32,622.00"
60640,"$32,466.00"
60615,"$31,571.00"
60626,"$31,318.00"
60604,"$31,250.00"
60616,"$30,625.00"
60623,"$28,203.00"
60608,"$28,026.00"
60636,"$27,727.00"
60649,"$27,699.00"
60644,"$26,930.00"
60609,"$25,705.00"
60612,"$25,143.00"
60602,"$23,750.00"
60637,"$23,228.00"
60624,"$22,426.00"
60621,"$19,718.00"
60653,"$14,205.00"
60654,$0.00
